ID;Standort-Nr;Baumhoehe_akt_m;Stammanzahl_akt_anz;Stammdurchmesser_akt_cm;Stammumfang_akt_cm;Kronendurchmesser_akt_cm;Pflanzjahr;Standalter_geschaetzt_jahr;ref_Baumart;ref_Baumart_botanisch;gis_komplex_UTM;ref_Objekt_Name;ref_Objekt_stat_Bezirk;ref_Objekt_Number;ref_Objekt_Name_Number
00008100:000dc6cb;88;9;3;30;94;6;2002;21;Katsurabaum, Kuchenbaum ;Cercidiphyllum japonicum;POINT (404561.4266 5754992.82);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc6d4;33;18;1;40;125,66;8;1982;41;Winter-Linde;Tilia cordata*;POINT (404655.6063 5754996.721);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc6d8;41;9;1;28;87,96;5;1997;26;Hainbuche;Carpinus betulus*;POINT (404693.6102 5754980.343);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc6dc;42;12;2;42;131,95;5;1997;26;Schwarz-Erle;Alnus glutinosa;POINT (404714.4598 5754981.577);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc8d5;70;1;0;0;0;1;2021;2;;Standort ohne Baum;POINT (404838.9833 5754869.175);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000dcbb4;223;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404713.537 5755885.083);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcbbf;21;18;1;32,79;103;8;1992;31;Sal-Weide;Salix caprea ;POINT (404586.6698 5755174.0673);MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36;32;63201;20 63201 MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36
00008100:000dcbd8;5;8,69;1;20;62,83;7;2002;21;Schmalbl�ttrige Esche;Fraxinus angustifolia*;POINT (404751.1669 5755378.2411);SP GR�NER GRUND;32;23205;20 23205 SP GR�NER GRUND
00008100:000dcbe2;19;14,68;1;90;282,74;8,5;1972;51;Rot-Eiche;Quercus rubra ;POINT (404745.2714 5755131.8016);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000dcc01;39;17;1;57;179;15;1952;71;Amerikanischer Amberbaum;Liquidambar styraciflua ;POINT (404770.2245 5755823.623);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcc0a;30;16,67;1;45;141,37;4,67;1984;39;Feld-Ahorn;Acer campestre*;POINT(404727.4229403094504959881305694580078125 5755075.559233746491372585296630859375);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dcc14;18;20,33;1;78;245,04;8,94;1972;51;Berg-Ahorn;Acer pseudoplatanus*;POINT(404677.440979771898128092288970947265625 5755264.757835817523300647735595703125);�G GR�NER GRUND;32;13202;20 13202 �G GR�NER GRUND
00008100:000dce1b;125;6,1;;;;2,69;;;Unbekannt;Unbekannt;POINT (404809.2059 5755847.8065);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dce22;89;12;1;35;109,96;5;1982;41;Winter-Linde;Tilia cordata*;POINT (404434.0917 5755246.577);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dce28;1;9,7;2;22;69,12;5,14;1997;25;Spitz-Ahorn;Acer platanoides*;POINT (404644.08 5755400.2225);�G GR�NER HANG (NATURDENKMAL EICHE);32;13203;20 13203 �G GR�NER HANG (NATURDENKMAL EICHE)
00008100:000dce33;211;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404755.4784 5755879.006);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dce37;23;18,26;;;;6,7;;;Unbekannt;Unbekannt;POINT (404732.9257 5755573.3309);�G GR�NER GRUND;32;13202;20 13202 �G GR�NER GRUND
00008100:000dce3f;1;10,99;1;69,39;218;12;1972;51;G�tterbaum;Ailanthus altissima;POINT (404602.08 5755152.1346);SP MATTHIAS-CLAUDIUS-SCHULE;32;23203;20 23203 SP MATTHIAS-CLAUDIUS-SCHULE
00008100:000dce46;215;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404745.2108 5755888.949);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dce4e;132;22,87;;;;6,46;;;Unbekannt;Unbekannt;POINT (404779.4686 5755889.8846);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dce4f;6;6,95;1;15;47,12;4;2007;16;Hainbuche;Carpinus betulus*;POINT (404799.1825 5755059.7655);�G INSELGARTEN;32;13207;20 13207 �G INSELGARTEN
00008100:000dce54;89;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404657.7255 5755685.243);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000dce5a;237;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404678.9706 5755793.594);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dce5d;137;7,01;;;;2,54;;;Unbekannt;Unbekannt;POINT (404780.9745 5755901.6044);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dce62;27;11;;22;69,12;6;1997;26;Robinie;Robinia pseudoacacia*;POINT (404672.5311 5755316.1454);�G GR�NER GRUND;32;13202;20 13202 �G GR�NER GRUND
00008100:000dce63;28;9,82;;;;2,42;;;Unbekannt;Unbekannt;POINT (404670.0438 5755301.9852);�G GR�NER GRUND;32;13202;20 13202 �G GR�NER GRUND
00008100:000dce69;29;22,73;1;88;276,46;12,69;1962;61;Berg-Ahorn;Acer pseudoplatanus*;POINT (404719.538 5755258.7313);�G GR�NER GRUND;32;13202;20 13202 �G GR�NER GRUND
00008100:000dce6d;30;30,61;;120;376,99;10,63;1972;51;Pyramiden-Pappel;Populus nigra 'Italica' ;POINT(404669.2106636765529401600360870361328125 5755261.249676262028515338897705078125);�G GR�NER GRUND;32;13202;20 13202 �G GR�NER GRUND
00008100:000dce73;31;16,96;1;80;251,33;14;1972;51;Robinie;Robinia pseudoacacia*;POINT (404757.5888 5755587.872);�G GR�NER GRUND;32;13202;20 13202 �G GR�NER GRUND
00008100:000dcf39;55;5,97;1;15;47,12;2,54;2002;21;Holzapfel;Malus sylvestris;POINT(404749.39304189383983612060546875 5755038.982500762678682804107666015625);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dcf3b;57;22,84;1;100;314,16;24;1942;81;Stiel-Eiche;Quercus robur*;POINT (404714.0888 5755065.6923);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dc6de;44;9;0;0;0;4;2012;11;Gemeine Hasel;Corylus avellana ;POINT (404706.9677 5754983.125);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc6e1;43;18;1;50;157,08;10;1972;51;Berg-Ahorn;Acer pseudoplatanus*;POINT(404722.077382999123074114322662353515625 5754987.338807694613933563232421875);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc966;19;11,69;1;57,3;180;5,83;1977;46;Mehlbeere;Sorbus spec.;POINT (404901.1425 5754985.0731);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000dc978;6;20,53;;;;13,51;;;Unbekannt;Unbekannt;POINT (404987.2264 5754909.2177);VG SAARBR�CKER STRASSE (BAUM-Objekt);32;53249;20 53249 VG SAARBR�CKER STRASSE (BAUM-Objekt)
00008100:000dc980;10;11;1;30;94,25;6;1992;31;Spitz-Ahorn;Acer platanoides*;POINT (404343.6454 5754785.534);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dc987;37;12;1;35;109,96;8;1972;51;Spitz-Ahorn;Acer platanoides*;POINT(404955.107770623057149350643157958984375 5754907.5039585530757904052734375);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000dc992;75;1;0;0;0;1;2021;2;;Standort ohne Baum;POINT (404906.7313 5754909.547);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000dcc2f;26;11,5;;;;3,78;1987;36;Spitz-Ahorn;Acer platanoides*;POINT (404916.7509 5755186.9823);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000dcc59;14;11,49;;;;4,74;;;Unbekannt;Unbekannt;POINT (404833.8983 5755223.6893);VG INSELBOGEN;32;53220;20 53220 VG INSELBOGEN
00008100:000dcc6e;33;5;0;0;0;6;2017;6;Gemeine Eibe;Taxus baccata*;POINT (404721.5321 5755859.691);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcc71;12;15,98;1;65;204,2;8,53;1967;56;Hainbuche;Carpinus betulus*;POINT(404592.851037523127160966396331787109375 5755212.523554749786853790283203125);MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36;32;63201;20 63201 MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36
00008100:000dcc80;25;12,15;1;50,93;160;11;1982;41;Spitz-Ahorn;Acer platanoides*;POINT (404867.4208 5755373.619);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000dcf3e;59;15,76;1;70;219,91;5,47;1977;46;Echte Pavie;Aesculus pavia;POINT (404695.828 5755071.4335);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dcf40;60;18,07;1;65;204,2;9;1977;46;Sommer-Linde;Tilia platyphyllos ;POINT (404669.6679 5755092.1405);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dcf4e;202;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404749.3329 5755921.728);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcf4f;203;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404755.0272 5755914.422);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcf52;15;17;;40;125,66;8;1992;31;Hainbuche;Carpinus betulus*;POINT(404730.09989668638445436954498291015625 5755014.748083777725696563720703125);SP GUT INSEL;32;23208;20 23208 SP GUT INSEL
00008100:000dcf55;247;9,26;;;;5,33;;;Unbekannt;Unbekannt;POINT (404758.4774 5755938.3378);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcf60;26;16,32;4;20;62,83;7;2002;21;Feld-Ahorn;Acer campestre*;POINT(404582.274234270560555160045623779296875 5755142.58424262702465057373046875);MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36;32;63201;20 63201 MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36
00008100:000dcf64;30;14,95;1;34,06;107;11;1997;26;Winter-Linde;Tilia cordata*;POINT (404587.579 5755123.5028);MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36;32;63201;20 63201 MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36
00008100:000dcf66;31;5,84;1;18,46;58;2,66;2002;21;Linde;Tilia spec.;POINT(404590.9032259694649837911128997802734375 5755107.55236455239355564117431640625);MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36;32;63201;20 63201 MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36
00008100:000dc612;75;15;1;26;82;6;1977;46;Winter-Linde;Tilia cordata*;POINT (404581.8221 5754885.309);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc619;12;14,25;;;;8,73;;;Unbekannt;Unbekannt;POINT (404030.3651 5754889.3661);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc9a1;54;9;1;29;90;5;1982;41;S�ulen-Eberesche;Sorbus aucuparia 'Fastigiata';POINT (404862.0468 5754920.659);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000dc9a7;29;5,49;5;30;94,25;3,5;2002;21;Blut-Pflaume;Prunus cerasifera 'Nigra' ;POINT (404935.1024 5754887.5204);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000dc9b1;25;9,92;;;;4,08;;;Unbekannt;Unbekannt;POINT (404000.7157 5754833.6298);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc9b3;19;26,03;1;95,49;300;21;1962;61;Gemeine Rosskastanie;Aesculus hippocastanum*;POINT (404783.2147 5754983.2313);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dc9b7;22;26,4;1;118,09;371;18,33;1962;61;Stiel-Eiche;Quercus robur*;POINT (404747.0936 5754996.7225);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dc9be;17;10,79;;36,61;115;4,03;1997;26;Berg-Ahorn;Acer pseudoplatanus*;POINT (404493.8388 5755328.3768);VG INSELBOGEN;32;53220;20 53220 VG INSELBOGEN
00008100:000dc9c0;38;9,69;;31,83;100;4,51;1992;31;Berg-Ahorn;Acer pseudoplatanus*;POINT (404482.371 5755334.6415);VG INSELBOGEN;32;53220;20 53220 VG INSELBOGEN
00008100:000dc9c5;12;17;1;36;112;5;1982;41;Gemeiner Wacholder;Juniperus communis ;POINT (404837.5917 5755931.083);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dc9c8;57;8;1;28;87,96;6;1992;31;Hainbuche;Carpinus betulus*;POINT (404459.2372 5755108.091);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dc9cd;56;14;1;40;125,66;6;1977;46;Winter-Linde;Tilia cordata*;POINT (404431.2684 5755104.717);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dc9ce;63;12;1;27;85;7;1977;46;Winter-Linde;Tilia cordata*;POINT (404434.4559 5755113.689);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dc9d9;176;20,79;;;;7,01;;;Unbekannt;Unbekannt;POINT (404831.4833 5755965.9852);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dc9db;35;12,94;;;;4,33;;;Unbekannt;Unbekannt;POINT (404482.9208 5755321.4374);VG INSELBOGEN;32;53220;20 53220 VG INSELBOGEN
00008100:000dc9e4;49;16;1;32;100,53;7;1992;31;Winter-Linde;Tilia cordata*;POINT (404434.3309 5755067.783);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dc9e5;80;11,45;;;;5,75;;;Unbekannt;Unbekannt;POINT (404893.3973 5755943.5536);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dc9ed;36;14,19;;41,38;130;5,49;1972;51;Berg-Ahorn;Acer pseudoplatanus*;POINT (404492.7206 5755312.8016);VG INSELBOGEN;32;53220;20 53220 VG INSELBOGEN
00008100:000dc9f4;4;7,22;;20;62,83;2,1;2012;11;S�ulen-Hainbuche;Carpinus betulus 'Fastigiata';POINT (404930.1034 5755920.4227);VG HAUS SENTMARING;32;53231;20 53231 VG HAUS SENTMARING
00008100:000dc9fa;24;13,7;;;;3,94;;;Unbekannt;Unbekannt;POINT (404348.1112 5755073.5604);VG FRANZ-HITZE-STRASSE;32;53211;20 53211 VG FRANZ-HITZE-STRASSE
00008100:000dc9fb;4;13,57;1;70;219,91;12;1937;86;Robinie;Robinia pseudoacacia*;POINT(404347.79088503983803093433380126953125 5755076.195083155296742916107177734375);VG FRANZ-HITZE-STRASSE;32;53211;20 53211 VG FRANZ-HITZE-STRASSE
00008100:000dcc8b;222;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404723.6932 5755880.788);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcc90;25;15,11;;;;5,6;;;Unbekannt;Unbekannt;POINT (404744.7968 5755126.7763);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000dcc9f;15;15,67;;;;4,84;;;Unbekannt;Unbekannt;POINT (404725.3007 5755153.1102);KITA AM INSELBOGEN 24;32;73201;20 73201 KITA AM INSELBOGEN 24
00008100:000dccb6;212;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404747.0165 5755871.339);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dccbe;29;12,93;;;;4,74;;;Unbekannt;Unbekannt;POINT (404734.2216 5755753.1503);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dccd5;46;10,72;1;56,66;178;5,16;1982;41;Mehlbeere;Sorbus spec.;POINT (404921.2333 5755033.2772);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000dcce7;46;15,59;;63,66;200;7,24;1942;81;Berg-Ahorn;Acer pseudoplatanus*;POINT (404792.1708 5755241.996);VG INSELBOGEN;32;53220;20 53220 VG INSELBOGEN
00008100:000dccf2;78;16,43;;;;5,13;;;Unbekannt;Unbekannt;POINT (404691.0087 5755080.6718);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dd012;114;21,55;;;;10,66;;;Unbekannt;Unbekannt;POINT (404803.1054 5756018.2382);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dd015;97;22,81;;;;12,51;;;Unbekannt;Unbekannt;POINT (404786.038 5756033.0028);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dd01f;101;11,26;;;;6,36;;;Unbekannt;Unbekannt;POINT (404803.8846 5756071.7372);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dd024;103;7,99;;;;4,1;;;Unbekannt;Unbekannt;POINT (404816.2177 5756072.8895);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dc61e;70;13;1;21;66;5;1977;46;Winter-Linde;Tilia cordata*;POINT (404621.912 5754889.218);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc622;17;10,16;;;;3,61;;;Unbekannt;Unbekannt;POINT (404042.4198 5754866.872);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc623;14;11,18;;;;4,71;;;Unbekannt;Unbekannt;POINT (404045.7225 5754868.5595);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc626;80;16;1;50;157;12;1972;51;Silber-Ahorn;Acer saccharinum;POINT (404545.5751 5754907.749);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc628;79;1;0;0;0;1;2021;2;;Standort ohne Baum;POINT (404549.5985 5754900.043);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc62b;82;13;1;21;66;6;1992;31;L�rche Spez.;Larix spec.;POINT (404552.2723 5754914.545);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc630;4;9,18;;;;2,18;;;Unbekannt;Unbekannt;POINT (404545.6923 5754950.8329);WEG WESTLICH LUDWIG-ERHARD-SCHULE;32;33201;20 33201 WEG WESTLICH LUDWIG-ERHARD-SCHULE
00008100:000dc639;60;1;0;0;0;1;2021;2;;Standort ohne Baum;POINT (404651.8124 5754907.93);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc63c;59;14;1;44,88;141;8;1977;46;Winter-Linde;Tilia cordata*;POINT(404650.7651363699114881455898284912109375 5754911.301010214723646640777587890625);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc640;19;9,03;;;;3,66;;;Unbekannt;Unbekannt;POINT (404010.288 5754882.6532);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc642;18;8,36;;;;2,86;;;Unbekannt;Unbekannt;POINT (404011.5985 5754872.4901);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc647;22;12,09;;;;4,61;;;Unbekannt;Unbekannt;POINT (404022.5194 5754859.4462);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc653;63;12;1;29,6;93;8;1977;46;Winter-Linde;Tilia cordata*;POINT (404672.3241 5754894.398);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc660;58;12;1;20,69;65;6;1977;46;Winter-Linde;Tilia cordata*;POINT(404657.072018346749246120452880859375 5754912.1563565693795680999755859375);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc663;56;11;1;30;94,25;6;1992;31;Winter-Linde;Tilia cordata*;POINT (404669.0204 5754914.197);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc668;54;8;1;18;56,55;4;1992;31;Winter-Linde;Tilia cordata*;POINT (404673.1571 5754921.485);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc66d;61;6,12;2;90;282,74;3,37;1982;41;Hainbuche;Carpinus betulus*;POINT (404718.2128 5754900.6845);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc672;51;8;1;25;78,54;4;1992;31;Winter-Linde;Tilia cordata*;POINT (404670.205 5754941.397);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc680;71;8,58;2;40;125,66;2,8;1982;41;Holzapfel;Malus sylvestris;POINT (404731.1093 5754938.7938);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc9ff;7;8,6;;22;69,12;5;1992;31;Baum-Hasel;Corylus colurna ;POINT (404401.1532 5755048.0751);VG FRANZ-HITZE-STRASSE;32;53211;20 53211 VG FRANZ-HITZE-STRASSE
00008100:000dca03;47;7;1;20;62;7;1992;31;Echte Walnuss;Juglans regia ;POINT (404918.3369 5755948.878);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dca07;1;13,88;;;;5,05;;;Unbekannt;Unbekannt;POINT (404378.954 5755057.7294);VG FRANZ-HITZE-STRASSE;32;53211;20 53211 VG FRANZ-HITZE-STRASSE
00008100:000dca09;6;13,34;1;65;204,2;9;1937;86;Robinie;Robinia pseudoacacia*;POINT (404383.0233 5755047.7011);VG FRANZ-HITZE-STRASSE;32;53211;20 53211 VG FRANZ-HITZE-STRASSE
00008100:000dca0a;8;15,56;1;70;219,91;13;1937;86;Robinie;Robinia pseudoacacia*;POINT (404372.8671 5755054.6132);VG FRANZ-HITZE-STRASSE;32;53211;20 53211 VG FRANZ-HITZE-STRASSE
00008100:000dca0b;2;16,38;1;50;157,08;10;1967;56;Robinie;Robinia pseudoacacia*;POINT (404356.1932 5755061.1581);VG FRANZ-HITZE-STRASSE;32;53211;20 53211 VG FRANZ-HITZE-STRASSE
00008100:000dca0d;48;19;1;39;122;5;1972;51;H�nge-Birke, Wei�-Birke;Betula pendula*;POINT (404921.3485 5755958.478);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dca14;90;6;0;0;0;8;2012;11;Unbekannt;Unbekannt;POINT (404957.2675 5755960.364);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dca17;67;15;1;49;153;7;1962;61;Gemeiner Wacholder;Juniperus communis ;POINT (404940.4528 5755962.017);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dca20;88;8;1;16;49;7;2002;21;Hainbuche;Carpinus betulus*;POINT (404970.5523 5755961.537);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dca26;17;7,59;1;18;56,55;6;1997;26;S�ulen-Hainbuche;Carpinus betulus 'Fastigiata';POINT (404272.2108 5755112.6786);VG FRANZ-HITZE-STRASSE;32;53211;20 53211 VG FRANZ-HITZE-STRASSE
00008100:000dca30;300;5;;;;3,78;;;Unbekannt;Unbekannt;POINT (404860.7352 5755994.7645);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dca32;301;22,95;;;;4,38;;;Unbekannt;Unbekannt;POINT (404867.4579 5755981.5682);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dca41;59;21;1;67;212;6;1942;81;Abendl�ndischer Lebensbaum;Thuja occidentalis ;POINT (404923.519 5755977.822);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dca48;13;15,96;1;80;251,33;13;1937;86;Robinie;Robinia pseudoacacia*;POINT (404340.8993 5755081.2264);VG FRANZ-HITZE-STRASSE;32;53211;20 53211 VG FRANZ-HITZE-STRASSE
00008100:000dca4b;75;17;1;42;131;4;1972;51;Abendl�ndischer Lebensbaum;Thuja occidentalis ;POINT (404950.7605 5755982.095);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dca4e;11;10,89;;30;94,25;7;1987;36;Baum-Hasel;Corylus colurna ;POINT (404286.495 5755103.3602);VG FRANZ-HITZE-STRASSE;32;53211;20 53211 VG FRANZ-HITZE-STRASSE
00008100:000dca53;79;7;1;22;69;6;1992;31;Hainbuche;Carpinus betulus*;POINT (404968.4354 5755992.635);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dca6e;15;7,38;;16;50,27;4,5;2002;21;Eberesche;Sorbus aucuparia ;POINT (404277.6073 5755015.203);VG R�PINGSTRASSE;32;53225;20 53225 VG R�PINGSTRASSE
